Kinds,line,score
AVscore,0,312
Linelen,0,20
KEP,0,0
Spacelen,0,4
complexity,0,0.0
AVscore,1,421
Linelen,1,21
KEP,1,0
Spacelen,1,4
complexity,1,0.0
AVscore,2,255
Linelen,2,22
KEP,2,0
Spacelen,2,4
complexity,2,0.0
AVscore,3,296
Linelen,3,22
KEP,3,0
Spacelen,3,4
complexity,3,0.0
AVscore,4,408
Linelen,4,25
KEP,4,0
Spacelen,4,5
complexity,4,0.0
AVscore,5,317
Linelen,5,21
KEP,5,0
Spacelen,5,4
complexity,5,0.0
AVscore,6,374
Linelen,6,21
KEP,6,0
Spacelen,6,4
complexity,6,0.0
AVscore,7,329
Linelen,7,21
KEP,7,0
Spacelen,7,4
complexity,7,0.0
AVscore,8,289
Linelen,8,26
KEP,8,0
Spacelen,8,5
complexity,8,0.0
AVscore,9,395
Linelen,9,21
KEP,9,0
Spacelen,9,4
complexity,9,0.0
AVscore,10,415
Linelen,10,18
KEP,10,0
Spacelen,10,2
complexity,10,0.0
AVscore,11,391
Linelen,11,21
KEP,11,0
Spacelen,11,4
complexity,11,0.0
AVscore,12,386
Linelen,12,21
KEP,12,0
Spacelen,12,4
complexity,12,0.0
AVscore,13,309
Linelen,13,26
KEP,13,0
Spacelen,13,5
complexity,13,0.0
AVscore,14,325
Linelen,14,21
KEP,14,0
Spacelen,14,4
complexity,14,0.0
AVscore,15,409
Linelen,15,18
KEP,15,0
Spacelen,15,2
complexity,15,0.0
AVscore,16,337
Linelen,16,18
KEP,16,100
Spacelen,16,5
complexity,16,27.77777777777778
AVscore,17,378
Linelen,17,19
KEP,17,100
Spacelen,17,5
complexity,17,31.57894736842105
AVscore,18,357
Linelen,18,18
KEP,18,100
Spacelen,18,4
complexity,18,33.33333333333333
AVscore,19,369
Linelen,19,18
KEP,19,0
Spacelen,19,2
complexity,19,0.0
AVscore,20,385
Linelen,20,18
KEP,20,0
Spacelen,20,3
complexity,20,0.0
